VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
7.5,11.1,8.24,32.74,9.33,AM
5.3,21.97,15.31,28,9.05,AM
5.79,16.54,10.11,34.91,9.98,AM
4.6,25.01,15.24,25.24,7.24,AM
9.3,6.94,9.08,24.88,10.64,AM
7.45,17.03,11.05,24.76,7.11,AM
7.68,14.82,11.46,42.41,8.24,AM
6.8,15.23,13.42,25.99,8.86,AM
8.2,16.28,11.12,22.33,6.36,AM
7.63,14.81,11.42,42.47,8.41,AM
5.68,16.31,12.48,30.62,10.18,AM
3.45,8.26,7.56,10.47,4.24,AM
9.13,6.41,6.28,32.26,6.58,AM
7.63,16.82,11.06,24.37,7.08,AM
7.75,12.22,8.96,33.06,9.19,AM
4.53,25.16,15.51,26.91,9.54,AM
6.49,15.29,18.56,33.35,13.66,AM
7.64,27.41,24.31,14,10.43,AM
5.3,24.98,11.46,27.52,9.05,AM
5.78,16.37,10.04,33.61,10.39,AM
7.23,4.88,14.97,24.34,10.54,AM
9.6,14.47,8.67,21.49,9.88,AM
3.75,18.49,9.48,8.02,7.37,AM
4.2,22.04,14.16,34.57,11.26,AM
4.2,19.23,14.48,34.32,11.01,AM
3.55,7.42,6.96,12.99,4.17,AM
5.06,24.24,11.06,27.43,9.82,AM
4.2,17.06,13.55,34.92,11.26,AM
4.45,15.97,9.46,6.27,8.52,AM
7.77,12.46,8.77,16.89,10.07,AM
6.95,10.75,8.08,19.61,9.68,AM
7.58,14.84,11.76,20.89,9.42,AM
5.75,16.82,9.97,32.22,8.39,AM
7.1,17.52,11.86,24.88,8.79,AM
4.3,18.29,10.73,5.86,8.16,AM
7.3,4.8,14.99,24.27,9.88,AM
4.4,17.11,10.03,5.98,8.16,AM
4.6,24.1,14.47,19.86,9.32,AM
2.34,14.02,12.08,3.95,11.93,AM
7.47,17.28,11.15,24.16,6.71,AM
7.2,12.38,8.79,33.76,10.15,AM
7.43,16.88,10.47,24.67,9.13,AM
9.11,6.24,6.26,32.05,6.27,AM
4.35,18.09,10.56,5.71,7.12,AM
5.22,24.75,15.82,22.06,10.39,AM
