VEC,∆χ,δ(%),ΔHmix,∆Smix,Type
7.76,8.12,3.72,3.82,12.29,SS
8.76,5.13,1.48,2.78,13.74,SS
8.24,5.37,1,3.99,11.66,SS
4.25,8.99,4.87,2.5,11.53,SS
4.49,9.14,5.71,3.92,6.52,SS
4.75,14.05,5.95,14,11.53,SS
4.4,8.14,4.99,2.34,13.51,SS
4.98,14.31,4.06,3.53,11.94,SS
4.76,18.25,6.16,2.56,12.3,SS
7,8.46,6.04,12.74,18.27,SS
5.71,16.33,4.32,9.96,16.18,SS
8.4,5.38,2.18,5.3,12.07,SS
5.5,17.67,4.65,4.89,14.9,SS
7.66,8.79,3.81,5.83,9.79,SS
5,18.55,3.74,3.68,13.38,SS
4,9.08,4.97,19.36,13.38,SS
6.5,6.12,3.57,2.25,11.53,SS
4.28,10.7,5,2.13,12,SS
8.25,6.83,5.85,8,11.53,SS
7.21,6.78,5.78,12.19,13.49,SS
4.75,18.52,5.99,2.5,11.53,SS
7.19,6.78,5.8,12.54,13.47,SS
4.35,7.8,5.4,2.24,9.98,SS
4.49,10.04,9.69,3.8,7.02,SS
7.03,7.44,6.11,15.16,11.93,SS
8.25,5.77,2.38,9.05,10.42,SS
8.33,5.66,1.68,9.81,10.02,SS
8.67,5.31,2.37,1.92,13.98,SS
4.75,18.39,6.08,2.53,12,SS
6.75,7.04,6.27,13.23,11.62,SS
4.8,16.63,6.85,2.72,13.38,SS
7.96,7.85,3.45,4.58,13.65,SS
8.6,9.22,4.05,5.6,13.38,SS
6.52,4.01,3.97,1.49,6.82,SS
6.82,6.97,6.22,12.92,12.31,SS
8.35,6.56,2.55,4.01,10.4,SS
4.35,6.79,4.65,2.26,10.72,SS
9.02,9.43,4.03,2.66,10.33,SS
9,7.43,3.19,1.76,13.38,SS
7.06,5.12,1.32,1.59,7.17,SS
4.51,3.66,1.33,1.8,6.22,SS
7.2,6.81,5.79,12.31,13.43,SS
8.85,4.12,1.82,1.31,5.87,SS
6.54,6.49,6.19,11.28,11.93,SS
8.7,5.27,1.59,2.3,14.08,SS
7.63,11.88,8.68,8.44,10.86,SS
7.29,8.09,6.79,13.8,16.18,SS
5.84,16.03,24.25,45.79,7.81,SS
6.59,6.53,6.16,11.39,12.31,SS
7.96,7.85,3.47,4.61,13.66,SS
7.2,6.83,5.84,12.4,13.77,SS
7.21,4.5,12.37,15.49,5.53,SS
7.99,7.84,3.28,4.29,13.58,SS
3.06,1.42,0.88,3.97,1.81,SS
7.48,19.32,17.92,11.9,12.14,SS
4.52,4.92,1.41,1.62,6.48,SS
4.34,7.77,5.08,2.62,9.28,SS
9,7.43,3.23,1.76,13.4,SS
4.35,9.3,4.39,2.49,9.57,SS
8.74,5.15,1.76,2.64,13.71,SS
6.83,15.76,10.94,24.78,14.9,SS
8.12,5.56,2.34,5.08,12.21,SS
7.9,7.87,3.71,5.27,13.93,SS
7.5,7.96,4.93,9.2,14.75,SS
7.4,6.67,5.59,2.56,13.38,SS
6.12,8.41,8.34,38.06,15.89,SS
4.58,11.49,5.05,1.26,12.6,SS
8.22,5.39,1.33,4.05,11.92,SS
8.29,5.99,1.48,3.99,12.11,SS
4.17,8.28,4.9,14.78,14.9,SS
4.33,7.77,5.04,2.67,9.13,SS
8.35,5.65,1.56,9.91,9.95,SS
4.99,14.34,4.07,3.22,11.81,SS
4.73,3.23,3.92,1.07,11.88,SS
4.8,13.2,5.49,13.6,13.38,SS
8.19,6.13,5.61,5.27,13.58,SS
8.04,2.65,1.3,0.75,3.24,SS
7.97,7.85,3.44,4.54,13.63,SS
4.5,8.04,7.02,0.96,10.92,SS
4.75,18.49,6.01,2.51,11.66,SS
8.76,5.14,1.63,2.75,13.67,SS
7.16,8.67,7.16,16.86,14.1,SS
7.8,7.9,4.08,6.32,14.24,SS
8.76,5.11,1.47,2.85,13.67,SS
8.7,5.57,1.72,4.33,11.82,SS
4.34,8.13,5.09,2.54,9.42,SS
5.84,15.94,24.25,45.59,7.66,SS
7.05,5.08,1.45,1.67,7.22,SS
7.61,6.96,5.63,4.03,13.58,SS
8.45,8.78,3.42,1.41,12.29,SS
4.75,18.56,6,2.48,11.73,SS
7.95,6.33,2.42,6.26,13.38,SS
4.8,17.24,6.85,2.88,13.38,SS
6.67,8.13,7.23,21.56,14.9,SS
8.33,5.93,3.99,5.13,13.91,SS
7.19,6.78,5.81,12.76,13.54,SS
8.68,5.83,1.95,4.15,12.29,SS
5.2,8.6,3.67,14.24,13.38,SS
8.31,6.06,1.07,4.82,10.5,SS
4.76,18.34,6.11,2.54,12.11,SS
7.5,8.18,5.4,5.11,14.9,SS
8.32,5.68,1.79,9.71,10.08,SS
8.43,5.33,1.95,5.56,11.95,SS
8.36,5.63,1.43,10.01,9.87,SS
4.4,8.13,4.99,2.72,13.38,SS
8.34,5.49,2.65,4.69,12.3,SS
4.75,19.12,5.37,1.99,11.73,SS
4.8,25.24,6.87,5.6,13.38,SS
8.24,5.79,2.49,8.91,10.48,SS
8.24,5.43,1.48,3.96,12.13,SS
5,14.37,4.08,2.75,11.53,SS
7.41,8.54,5.63,9.06,17.76,SS
8.99,6.4,1.26,3.97,9.57,SS
8.38,8.02,3.28,2.55,13.51,SS
5,14.61,7.48,4.41,16.18,SS
4.5,21.81,6.39,3.45,11.73,SS
4.75,18.45,6.03,2.51,11.81,SS
4.6,19.52,6.1,1.6,13.38,SS
6.27,8.29,5.04,20.74,12.14,SS
10.6,10.91,4.38,6.56,13.38,SS
8.17,5.47,1.84,4.55,12,SS
5,21.85,6.06,5.28,13.38,SS
4.35,7.79,5.28,2.38,9.77,SS
4.8,19.72,6.3,1.12,13.38,SS
5.56,14.92,24.4,42.43,7.29,SS
8.68,5.28,2.25,2.09,13.93,SS
7.5,7.81,3.3,7.56,14.9,SS
7.77,8.12,3.58,3.8,11.73,SS
8.04,7.11,1.2,5.89,7.85,SS
4.99,15.51,4.08,3.13,11.76,SS
8.2,5.44,1.57,4.34,11.92,SS
4.5,2.26,1.25,1.95,5.98,SS
7.83,6.67,5.29,4.76,14.99,SS
9.25,7.38,4.39,2,11.53,SS
8.08,7.69,3.18,4.11,13.29,SS
9.77,3.69,1.89,1.9,3.03,SS
8.02,8.71,4.8,5.79,13.69,SS
7.92,8.76,3.53,4.11,14.24,SS
7.31,8.05,6.79,17.12,13.93,SS
7.98,7.84,3.4,4.44,13.58,SS
8.27,5.75,2.26,9.2,10.35,SS
6.8,7,6.26,13.48,12.5,SS
7.5,5.67,4.43,7.14,11.89,SS
6.34,5.22,2.71,4.31,9.49,SS
8,7.84,3.29,4.18,13.4,SS
8,7.84,3.3,4.21,13.42,SS
7.49,6.52,6.24,13.72,11.73,SS
7.98,7.84,3.39,4.44,13.57,SS
4.45,6.75,4.78,2.44,11.44,SS
8.32,8.72,3.92,4.16,9.88,SS
7.2,6.79,5.78,12.36,13.47,SS
4.4,8.47,5.01,2.66,13.49,SS
8.51,1.79,0.73,1.26,6.8,SS
4.22,2.1,3.92,16.99,11.52,SS
6.5,6.46,6.22,11.5,11.53,SS
2.36,19.53,5.58,12.6,9.86,SS
6.33,5.31,2.71,4.46,9.25,SS
7.68,7.94,4.55,7.86,14.58,SS
4.4,3.07,3.57,13.44,13.38,SS
4.67,22.09,5.72,2.11,14.9,SS
7.5,6.5,6.25,13.75,11.53,SS
8.73,5.53,1.47,4.54,11.7,SS
6.8,7.94,5.84,12.48,13.38,SS
10,8.94,4.45,3.5,11.53,SS
8.23,5.36,1.03,3.99,11.72,SS
4.16,9.09,4.94,6.37,12.83,SS
7.43,9.61,6.53,8.36,11.58,SS
6.75,6.97,6.27,13.25,11.53,SS
4.5,6.72,4.84,2.5,11.53,SS
4.39,8.15,4.99,1.79,13.65,SS
8.5,7.6,3.01,1.44,14.9,SS
4.51,3.26,1.3,1.85,6.15,SS
6.6,8.32,6.28,15.44,17.99,SS
4.41,8.79,5.03,2.59,13.58,SS
7.76,7.74,3.27,3.72,13.23,SS
7.99,7.84,3.28,4.22,13.49,SS
8.78,5.06,1.31,3.03,13.51,SS
7.33,8.61,3.11,15.17,14.9,SS
5.47,1.97,6.75,6.88,6.69,SS
5.43,17.17,3.35,11.18,16.18,SS
8.34,5.65,1.62,9.86,9.98,SS
7.62,7.76,8.47,7.61,2.91,SS
8.74,5.23,1.93,2.42,13.8,SS
7.02,7.46,6.12,15.24,11.73,SS
4.23,9.01,4.89,0.82,11.94,SS
4.6,19.87,6.09,1.92,13.38,SS
8.34,5.9,1.65,9.84,10.4,SS
8.35,6.44,1.83,4.76,11.76,SS
4.75,18.47,6.02,2.51,11.73,SS
7.97,7.85,3.42,4.51,13.61,SS
6.77,7.01,6.29,13.52,12.2,SS
8.73,5.27,2.07,2.26,13.86,SS
4.4,6.77,4.72,2.36,11.18,SS
8.23,5.36,1,3.97,11.7,SS
4.37,7.81,5.61,1.96,10.33,SS
5,14.36,4.07,2.91,11.64,SS
4,7.89,5.87,9,11.53,SS
7.18,6.8,5.77,12.49,13.66,SS
7.18,8.7,7.17,17.23,13.83,SS
6.51,4,3.99,1.25,6.9,SS
4.75,18.45,6.04,2.52,11.82,SS
6.05,1.63,0.57,0.26,1,SS
4.49,10.05,9.71,3.87,6.83,SS
7.43,7.05,4.96,7.76,16.18,SS
7.2,6.78,5.79,12.32,13.38,SS
8.9,4.14,3.89,0.68,12.8,SS
6.98,9.53,6.95,22.56,12.11,SS
7.41,6.67,5.58,2.64,13.58,SS
4.5,2.04,1.72,1.07,6.56,SS
7,9.59,6.92,23.25,11.53,SS
7.99,8.07,3.71,4.56,13.47,SS
8.3,5.71,1.99,9.5,10.2,SS
7.18,6.8,5.76,12.53,13.71,SS
5.13,13.83,8.46,1,11.53,SS
6.8,8.55,7.48,26.4,13.38,SS
7.6,6.97,5.64,4,13.38,SS
7.97,7.79,3.27,3.99,13.34,SS
7.49,6.52,6.24,13.71,11.79,SS
4.24,9,4.88,1.82,11.73,SS
4.75,18.37,7.65,4,11.53,SS
8.2,5.4,1.43,4.23,11.84,SS
4.4,8.53,5.01,2.64,13.51,SS
10.5,11.14,5.57,2.22,14.9,SS
4.4,6.11,4.37,2.08,11.08,SS
4.73,16.05,5.36,0.87,13.31,SS
8.45,6.52,1.81,4.84,11.76,SS
7.6,7.62,3.86,0.92,9.71,SS
8,7.84,3.29,4.17,13.39,SS
4.34,8.36,5.11,2.49,9.49,SS
8.31,6.11,1.07,4.89,10.2,SS
7.84,6.56,5.54,12.48,12.43,SS
8.31,6.08,1.07,4.84,10.41,SS
8.71,5.21,2.02,2.36,13.83,SS
10.74,3.15,1.02,2.4,3.24,SS
7.5,6.51,6.25,13.73,11.66,SS
7.17,8.63,6.9,16.67,14.9,SS
4.25,7.34,4.85,1.75,11.53,SS
4.3,6.81,4.58,2.14,10,SS
5,14.31,3.78,2.56,13.38,SS
4.34,8.39,5.07,2.53,9.57,SS
8.66,5.34,2.45,1.81,14.02,SS
4.41,9.15,5.05,2.52,13.66,SS
4.37,5.88,4.2,1.93,10.74,SS
9.76,3.84,2.21,2.05,3.09,SS
7.59,10.76,7.37,5.95,10.62,SS
6.04,1.63,0.66,0.28,1.03,SS
8.75,5.18,1.79,2.59,13.74,SS
4.19,9.07,4.92,3.97,12.6,SS
8.72,5.23,1.56,2.43,14,SS
4.6,13.35,3.8,12.8,13.38,SS
7.83,6.63,5.29,4.83,14.99,SS
7.19,6.79,5.78,12.42,13.58,SS
8,7.84,3.29,4.18,13.4,SS
6.49,12.06,5.82,11.8,11.7,SS
4.35,8.58,5.12,2.44,9.56,SS
8.7,5.29,1.6,2.23,14.12,SS
8.32,5.68,1.84,9.66,10.11,SS
6.78,7.01,6.28,13.51,12.31,SS
8.75,5.13,1.65,2.75,13.66,SS
6.84,6.96,6.19,12.89,12.5,SS
5.13,19.06,7.09,5.25,17.29,SS
5.84,15.97,24.25,45.65,7.71,SS
8.64,5.37,2.57,1.65,14.07,SS
8.72,5.54,1.54,4.48,11.73,SS
4.49,9.12,5.74,3.24,7,SS
7.99,7.84,3.28,4.24,13.51,SS
8.22,5.37,1.19,4.07,11.76,SS
8.2,8.52,3.59,4.64,13.38,SS
8.37,8.02,3.32,2.44,13.58,SS
4.97,2.54,1.63,0.42,1.83,SS
7.52,7.55,10.2,10.73,3.48,SS
4.96,2.58,1.65,0.43,1.85,SS
8.36,5.45,2.47,4.94,12.21,SS
7.22,6.78,5.77,12.06,13.58,SS
8.19,5.43,1.63,4.38,11.92,SS
4.26,2.12,4.02,16.22,11.73,SS
6.67,9.28,5.69,21.49,10,SS
6.67,6.62,6.62,27.33,14.9,SS
5.2,13.07,5.62,4.32,13.38,SS
7.2,6.79,5.8,12.37,13.43,SS
4.33,8.76,4.29,2.67,9.13,SS
4.24,7.25,5.29,4.36,11.3,SS
8.21,5.39,1.33,4.16,11.81,SS
8.24,5.36,1.11,3.81,11.93,SS
8.3,8.72,3.92,4.33,9.83,SS
4.5,21.84,6.44,3.54,11.62,SS
4.75,18.41,6.06,2.52,11.94,SS
8.23,5.43,1.47,4.07,12.05,SS
6.98,9.04,7.18,19.96,13.3,SS
7.18,6.78,5.83,12.98,13.61,SS
6.34,5.2,2.7,4.34,9.41,SS
5.84,15.96,24.25,45.62,7.69,SS
7.75,7.44,7,9.43,12.03,SS
7.98,7.84,3.37,4.37,13.54,SS
7.5,6.74,10.61,10.86,3.51,SS
5,15.55,4.09,2.75,11.53,SS
4.8,17.32,5.46,1.76,13.38,SS
8.72,5.19,1.92,2.47,13.78,SS
5.17,18.58,3.58,4.22,14.9,SS
8.15,5.52,2.1,4.82,12.11,SS
8.37,5.43,2.39,5.04,12.17,SS
6.33,5.45,2.75,4.47,9.34,SS
8,7.77,6.13,8.44,14.9,SS
4.97,14.3,4.06,3.69,12,SS
4.34,9.35,7.37,1.61,10.4,SS
8.13,5.66,2.2,4.84,12.31,SS
8.5,6.46,2.19,4.29,11.58,SS
7.67,6.46,5.28,11.29,12.32,SS
8.31,8.72,3.92,4.25,9.86,SS
8.33,8.75,3.95,4.44,9.13,SS
7,16.85,15.9,38.2,16.18,SS
7.1,6.87,5.97,12.89,13.37,SS
8,8.39,4.28,5.17,13.59,SS
7.6,7.94,4.68,8.29,14.63,SS
6.33,5.59,2.79,4.48,9.42,SS
8.15,5.59,2.24,5.02,12.22,SS
8.2,5.42,1.52,4.29,11.88,SS
8.42,5.35,2.05,5.46,12,SS
4.49,9.14,5.71,3.93,6.55,SS
8.18,5.44,1.68,4.42,11.94,SS
8.09,6.91,2.39,4.15,12.83,SS
4.5,8.6,5.36,3.5,11.53,SS
7.94,7.86,3.56,4.86,13.77,SS
8.26,8.06,3.74,3.58,10.79,SS
6.95,4.1,10.6,24.07,7.19,SS
7.97,7.84,3.41,4.47,13.59,SS
4.86,22.64,6.02,3.59,16.18,SS
8.66,8.58,3.54,7.45,9.57,SS
7.77,8.1,3.57,4.03,11.98,SS
8,7.84,3.3,4.22,13.43,SS
4.01,2.54,1.52,0.14,1.43,SS
8.03,6.59,5.96,4.88,12.3,SS
7.8,7.23,5.52,6.56,13.38,SS
8.29,8.71,3.93,4.43,9.77,SS
8.77,5.09,1.45,2.92,13.58,SS
7.45,7.97,5.04,9.64,14.79,SS
8.63,5.39,2.64,1.54,14.1,SS
8.09,5.61,2.55,5.33,12.3,SS
7.2,8.73,7.18,17.6,13.38,SS
8.26,5.4,1.29,3.72,12.08,SS
4.75,18.43,6.05,2.52,11.88,SS
8.2,5.49,1.8,4.44,12.13,SS
8.73,5.21,1.54,2.5,13.96,SS
6.58,6.52,6.17,11.35,12.2,SS
4.71,16.71,6.69,1.47,16.18,SS
7.93,7.73,3.27,3.77,13.17,SS
7.49,8.55,5.52,8.19,17.35,SS
8.2,7.73,3.16,4.16,13.38,SS
4.74,18.63,6.01,2.43,12,SS
9.83,7.58,3.88,2.56,14.9,SS
7.29,6.39,6.13,18.86,16.18,SS
7.49,8.55,5.53,8.24,17.39,SS
8.74,5.51,1.33,4.64,11.62,SS
4.36,7.8,5.51,2.1,10.16,SS
8.23,5.35,0.97,3.96,11.69,SS
8.48,5.23,1.37,6.09,11.66,SS
6.34,5.18,2.69,4.38,9.31,SS
7.5,8.11,4.07,0.96,9.92,SS
4.75,18.5,6,2.5,11.64,SS
4.24,9.01,4.88,1.49,11.81,SS
7.99,7.84,3.33,4.27,13.47,SS
8.99,1.9,0.83,1.5,9.26,SS
4.74,19.16,5.43,1.97,12,SS
7,8.04,6.35,13.94,17.29,SS
8.29,5.73,2.13,9.35,10.27,SS
8,7.85,3.3,4.18,13.39,SS
4.36,9.19,5.15,2.28,9.73,SS
8.39,5.4,2.27,5.2,12.11,SS
9.87,9.06,4.33,2.99,11.47,SS
4.49,10.05,9.7,3.83,6.93,SS
5.84,16.02,24.25,45.75,7.78,SS
8.22,5.37,1.1,4.02,11.73,SS
8,7.84,3.28,4.16,13.38,SS
7.8,7.21,5.52,6.5,13.58,SS
4.99,15.52,4.08,3.07,11.73,SS
4.21,9.04,4.9,1.46,12.3,SS
4.51,21.7,6.38,3.34,12,SS
4.51,1.7,1.34,1.05,6.56,SS
7.06,5.07,1.28,1.59,7.11,SS
6.51,6.15,3.56,2.17,11.62,SS
8.32,8.74,3.94,4.44,9.4,SS
4.49,6.79,4.85,2.05,11.93,SS
4.43,6.33,4.53,2.22,11.32,SS
4.34,7.89,5.08,2.6,9.33,SS
8.2,6.1,5.62,5.28,13.38,SS
4.41,9.09,5.04,2.53,13.65,SS
4.75,21.56,6.71,1.99,11.73,SS
9.64,2.4,1.43,6.53,9.57,SS
6.85,6.96,6.18,12.88,12.59,SS
7.5,5.74,6.59,20.44,14.9,SS
7.5,6.53,6.21,13.42,12.2,SS
7.98,7.84,3.38,4.4,13.55,SS
4.6,14.25,3.8,12.96,13.38,SS
7.96,7.85,3.48,4.65,13.68,SS
8.4,8.01,3.21,2.72,13.38,SS
7,8.46,6.04,12.74,18.27,SS
5,15.79,2.93,3.55,9.28,SS
4.39,8.14,4.99,2.1,13.58,SS
6.89,10.37,6.09,11.21,18.27,SS
4.5,9.14,5.72,3.93,6.56,SS
6.5,3.99,4.03,1.01,7.03,SS
6.94,6.99,6.22,13.73,13.32,SS
8.71,5.25,1.57,2.36,14.04,SS
7.52,6.5,6.24,13.5,11.73,SS
4.5,9.13,5.72,3.94,6.57,SS
4.99,14.35,4.07,3.07,11.73,SS
8.09,12.19,4.97,10.74,12.86,SS
8.05,12.94,5.06,10.64,13.37,SS
8.14,6.36,2.29,2.02,15.08,SSIM
7.89,8.32,5.09,10.67,13.15,SSIM
7.95,8.81,4.69,9.3,13.01,SSIM
7.86,8.53,5.26,11.19,13.2,SSIM
7.92,9.16,4.92,9.9,13.09,SSIM
7.6,10.07,6.45,16.96,13.97,SSIM
7.2,7.71,5.83,12.08,14.53,SSIM
7,7.35,5.37,10.83,14.53,SSIM
7.15,6.73,5.51,11.95,14.22,SSIM
7.13,7.03,5.54,11.78,14.43,SSIM
7.11,7.29,5.57,11.6,14.59,SSIM
7.75,10.14,6.29,15.61,13.21,SSIM
7.18,6.41,5.64,13.53,11.32,SSIM
7.96,8.78,4.67,9.24,13,SSIM
7.02,16.5,5.71,12.32,14.61,SSIM
7.09,15.9,5.89,11.44,14.7,SSIM
7.17,15.23,5.43,10.5,14.53,SSIM
7.23,14.64,5.29,9.7,14.23,SSIM
6.13,17.54,5.63,9.69,12.97,SSIM
6.44,16.83,5.62,10.27,13.15,SSIM
6.7,16.19,5.55,10.44,12.95,SSIM
6.91,15.6,5.47,10.38,12.6,SSIM
7.33,15.67,6.1,12.74,13.15,SSIM
7.2,15.89,5.83,12.08,14.53,SSIM
7.09,15.9,5.59,11.44,14.7,SSIM
7,15.8,5.37,10.83,14.53,SSIM
6.92,15.63,5.18,10.27,14.23,SSIM
7.85,13.23,5.78,8.4,15.92,SSIM
7.73,13.73,6.13,10.11,16,SSIM
7.62,14.14,6.4,11.6,16,SSIM
7.51,14.48,6.63,12.89,15.97,SSIM
7.41,14.76,6.82,14.02,15.91,SSIM
7.31,15,6.97,15.01,15.82,SSIM
7.22,15.2,7.09,15.86,15.72,SSIM
8.05,11.54,4.01,3.34,15.76,SSIM
7.95,11.76,4.02,4.07,15.92,SSIM
7.86,11.94,4.03,4.71,16,SSIM
7.18,13.06,5.48,12.13,13.92,SSIM
7.15,13.92,5.51,11.95,14.22,SSIM
7.13,14.66,5.54,11.78,14.43,SSIM
7.11,15.32,5.57,11.61,14.59,SSIM
7.77,13.34,5.08,4.47,15.6,SSIM
7.72,14.48,5.15,4.2,15.91,SSIM
7.67,15.4,5.21,3.95,16.08,SSIM
7.62,16.15,5.26,3.72,16.16,SSIM
7.57,16.78,5.29,3.51,16.18,SSIM
8,14.05,3.45,4.35,13.15,SSIM
7.92,15.19,5.33,10.25,14.17,SSIM
7.83,16.34,5.47,9.96,14.39,SSIM
6.44,16.38,5.62,10.27,13.15,SSIM
6.8,16.36,5.62,11.08,14.53,SSIM
7.09,15.9,5.59,11.44,14.7,SSIM
7.33,15.46,5.52,11.53,14.53,SSIM
7.54,15.4,5.48,11.46,14.23,SSIM
5.76,12.56,7.36,22.99,14.07,SSIM
6.16,13.61,8.65,34.11,16.06,SSIM
6.15,13.4,8.25,32.02,14.69,SSIM
8.71,5.36,2.31,1.93,13.96,SSIM
8.21,5.4,1.37,4.18,11.82,SSIM
9.49,1.64,1.48,5,11.58,SSIM
5.94,21.77,7.79,3.98,13.34,SSIM
7.52,6.4,5.5,11.1,13.01,SSIM
5.24,14.13,5.91,5.76,11.73,SSIM
8.49,2.02,1.4,1.84,7.02,SSIM
9.47,1.66,2.36,5.02,11.73,SSIM
8.28,6.2,1.6,5.5,10.2,SSIM
7.01,7.55,6.11,15.19,12.2,SSIM
6.5,6.66,6.21,11.44,11.73,SSIM
7.97,7.84,3.29,4.41,13.71,SSIM
7.62,10.31,8.17,14.35,12.27,SSIM
6.58,6.53,6.17,11.67,12.15,SSIM
7.38,8.6,5.38,9.8,10.87,SSIM
5.5,18.79,4.97,4.26,11.62,SSIM
7.8,8.15,3.46,8.96,13.38,SSIM
6.5,12.04,5.79,11.75,11.53,SSIM
7.69,5.66,2,3.25,10,SSIM
7.3,8.8,5.45,11.33,11.1,SSIM
5.2,5.72,1.12,2.46,2.4,SSIM
8,7.7,6.16,8.44,9.13,SSIM
7.6,9.03,3.78,8.96,13.38,SSIM
7.99,6.18,2.5,10.46,11.76,SSIM
4.4,9.51,7.23,1.16,13.58,SSIM
7.03,5.04,1.39,1.67,6.85,SSIM
8.29,6.26,1.59,5.59,9.57,SSIM
4.34,8.58,5.32,1.14,9.78,SSIM
7.19,6.92,5.79,12.27,13.58,SSIM
8.21,5.39,1.41,4.38,12.01,SSIM
7.47,8.55,5.55,8.44,17.51,SSIM
7.04,7.41,6.1,15,12.2,SSIM
8.75,5.15,1.5,2.71,13.8,SSIM
7.02,7.53,6.1,15.11,12.31,SSIM
6.57,6.71,6.17,11.6,12.31,SSIM
8.8,9.26,8.07,0.48,10.92,SSIM
7.98,7.78,6.16,8.67,15.08,SSIM
8.23,5.67,2.14,4.4,11.75,SSIM
0.37,286.55,284.87,0.01,2.56,SSIM
6.6,10.7,5.96,10.72,13.38,SSIM
6.11,7.31,7.74,11.95,10.15,SSIM
6.74,7.23,6.27,13.15,11.82,SSIM
7.05,7.29,6.13,19.46,12.57,SSIM
9.5,1.64,1.33,5,11.56,SSIM
7.82,6.77,5.29,4.72,15.11,SSIM
4.8,14.13,5.51,13.83,13.41,SSIM
4.34,9.21,5.72,1.16,9.71,SSIM
4.28,2.14,4.16,16.15,12,SSIM
7.99,7.84,3.34,4.3,13.49,SSIM
4.34,9.47,4.67,1.15,9.78,SSIM
5.79,5.8,6.72,10.33,10.12,SSIM
8.01,6.66,6.01,4.77,11.73,SSIM
7.2,6.91,5.92,12.48,13.43,SSIM
4.34,8.65,5.41,0.59,9.85,SSIM
7.51,6.51,6.23,13.48,11.93,SSIM
7.5,12.1,10.01,23.89,14.9,SSIM
4.68,3.21,6.86,10.79,7.16,SSIM
4.76,8.56,8.75,5,11.93,SSIM
7.9,6.36,5.56,17.52,11.64,SSIM
7.19,7.17,6.18,12.79,13.51,SSIM
6.67,8.7,6.36,12.89,14.9,SSIM
6.52,6.67,6.2,11.48,11.93,SSIM
4.4,13.08,5.62,9.28,13.38,SSIM
4.8,14.14,5.5,13.76,13.38,SSIM
7.49,6.54,6.2,13.39,12.31,SSIM
8.73,5.19,1.53,2.57,13.91,SSIM
7.15,6.94,5.98,13.34,13.83,SSIM
7.6,6.95,5.7,14.88,13.38,SSIM
6.76,7.13,6.26,13.17,11.93,SSIM
7.19,7.04,6.05,12.63,13.47,SSIM
5.79,5.82,6.72,10.38,10.04,SSIM
8.14,5.52,2.14,4.86,12.13,SSIM
5.22,7.61,1.24,2.46,3.08,SSIM
8.29,14.81,6.43,4.24,16.18,SSIM
7.18,6.82,5.85,12.73,13.66,SSIM
7.06,9.99,3.87,7.49,12.11,SSIM
8.04,8.39,3.44,4.62,13.89,SSIM
5.79,5.81,6.72,10.37,10.08,SSIM
7.18,8.69,7.17,17.11,13.93,SSIM
8.02,6.63,5.99,4.82,12,SSIM
5.5,18.8,4.96,4.25,11.53,SSIM
7.2,15.01,16.37,9.28,13.38,SSIM
4.34,9.4,4.56,1.68,9.71,SSIM
7.99,7.84,3.31,4.24,13.45,SSIM
8,10.44,4.23,4,13.38,SSIM
7.98,7.84,3.28,4.36,13.66,SSIM
6.49,12.07,5.82,11.82,11.73,SSIM
8.69,5.45,2.53,1.61,14.04,SSIM
6.57,6.53,6.18,11.66,12.13,SSIM
7.16,8.19,6.29,14.36,15.53,SSIM
8.33,15.8,6.53,6.44,14.9,SSIM
7,8.32,7.02,13.67,14.9,SSIM
4.75,8.12,8.78,5,11.53,SSIM
5.46,1.97,6.75,7.1,6.93,SSIM
4.6,9.76,8.63,4,13.38,SSIM
9.85,3.02,1.94,1.42,1.95,SSIM
8.19,5.44,1.65,4.4,11.93,SSIM
5.19,13.05,5.61,4.59,13.58,SSIM
8.04,8.44,3.45,4.67,13.93,SSIM
4.6,2.47,5.9,14.56,13.38,SSIM
7.8,12.59,10.62,14.4,13.38,SSIM
7.16,8.43,6.79,25.83,12.37,SSIM
8.7,9.46,4.52,5.04,10.92,SSIM
8.94,2.35,1.63,2.14,9.56,SSIM
4.6,12.84,8.68,34.08,13.38,SSIM
7.05,10.01,3.87,7.44,12.02,SSIM
8.68,5.54,2.73,1.29,14.12,SSIM
7.71,5.33,1.13,2.81,10.2,SSIM
6,12.85,6.53,13.44,13.38,SSIM
5.79,5.81,6.72,10.35,10.1,SSIM
4.4,22.14,5.89,6.08,13.38,SSIM
7.17,6.78,5.84,13.2,13.66,SSIM
5,15.54,11.66,22.88,13.38,SSIM
8.24,5.37,1.03,4.07,11.71,SSIM
7.31,6.67,5.05,9.59,11.5,SSIM
7.69,5.35,1.31,3.23,10.06,SSIM
7.98,6.23,2.52,10.44,11.82,SSIM
8.33,11.16,4.3,7.67,14.9,SSIM
4.5,8.7,6.6,0.98,11.73,SSIM
9.45,1.43,1.02,0.63,6.2,SSIM
8.62,5.71,2.38,3.6,12.15,SSIM
4.34,8.43,5.12,2.25,9.62,SSIM
7.18,6.82,5.84,12.71,13.65,SSIM
8.23,5.41,1.26,4.15,11.73,SSIM
7.67,6.56,5.44,11.82,13.01,SSIM
7.38,8.03,6.72,16.52,13.58,SSIM
7.19,6.79,5.81,12.45,13.49,SSIM
4.5,6.73,4.84,2.21,11.64,SSIM
8.21,5.39,1.28,4.13,11.79,SSIM
7.99,7.84,3.32,4.25,13.46,SSIM
8.03,8.33,3.42,4.57,13.85,SSIM
7.4,13.13,10.11,19.52,13.38,SSIM
