VEC,∆χ,δ(%),∆Smix,∆Hmix,phase
7.76,0.07727,5.596,13.05,12.2048,Multiphase
8.66375,0.0564,2.082,12,3.95847,Multiphase
4.9645,0.02576,1.648,1.85,0.43139,BCC
8.3625,0.05447,2.466,12.21,4.94203,FCCBCC
7.219,0.06779,5.774,13.58,12.0618,BCC
7.222,0.08578,5.405,12.32,10.5752,Multiphase
4.8,0.07595,8.678,13.38,4.64,Multiphase
5.19,0.04933,1.081,2.15,2.4574,Multiphase
4.25875,0.02117,4.021,11.73,16.2173,BCC
5.412,0.18469,3.398,13.93,4.69146,Multiphase
4.47,0.22703,5.891,13.34,6.6612,Multiphase
6.67333,0.09275,5.687,10,21.4867,BCC
6.66667,0.06622,6.616,14.9,27.3333,BCC
5.2,0.1307,5.619,13.38,4.32,BCC
7.1978,0.06786,5.795,13.43,12.3721,BCC
4.33333,0.08758,4.289,9.13,2.66667,BCC
4.24,0.07248,5.289,11.3,4.3616,BCC
8.21063,0.0539,1.325,11.81,4.15547,FCCBCC
8.2375,0.0536,1.113,11.93,3.80912,FCC
8.29917,0.08715,3.923,9.83,4.33494,FCC
4.503,0.21841,6.436,11.62,3.5419,BCC
4.75313,0.18408,6.064,11.94,2.5243,BCC
8.97,0.02019,1.114,9.35,1.66497,Multiphase
8.22938,0.05434,1.471,12.05,4.0691,FCC
6.975,0.0904,7.181,13.3,19.955,FCC
7.055,0.05315,1.443,7.35,1.5973,Multiphase
7.1808,0.06779,5.827,13.61,12.9789,BCC
6.34133,0.05199,2.703,9.41,4.3448,BCC
5.8376,0.15959,24.247,7.69,45.6231,FCC
7.75,0.07441,7,12.03,9.43,FCC
7.981,0.07841,3.369,13.54,4.37375,FCC
5,0.15547,4.087,11.53,2.75,BCC
4.8,0.17324,5.463,13.38,1.76,BCC
8.6465,0.0567,2.216,12.07,3.8028,Multiphase
8.7246,0.05189,1.923,13.78,2.47066,FCCBCC
5.16667,0.18578,3.576,14.9,4.22222,BCC
8.145,0.05515,2.103,12.11,4.8167,BCC
8.3735,0.05428,2.39,12.17,5.0445,FCCBCC
6.33,0.05451,2.749,9.34,4.47016,BCC
8,0.07767,6.126,14.9,8.44444,FCC
8.2269,0.05359,1.039,11.71,3.98867,Multiphase
7.8,0.12068,3.805,13.38,2.88,Multiphase
4.34267,0.09539,4.77,9.85,0.61488,Multiphase
4.97,0.14301,4.058,12,3.68759,BCC
4.34,0.09349,7.37,10.4,1.6064,BCC
8.13375,0.05657,2.196,12.31,4.84409,BCC
7.052,0.05457,1.531,7.45,1.60339,Multiphase
8.5,0.06461,2.187,11.58,4.2928,FCC
7.67,0.06461,5.278,12.32,11.292,FCCBCC
8.31167,0.08716,3.921,9.86,4.24524,FCC
8.33333,0.08753,3.949,9.13,4.44444,FCC
7,0.1685,15.9,16.18,38.2041,FCC
7.1013,0.06867,5.965,13.37,12.886,BCC
8.004,0.08392,4.284,13.59,5.17331,FCC
7.04,0.07393,6.092,12.31,14.9196,Multiphase
7.6,0.07944,4.679,14.63,8.2903,FCC
6.32833,0.0559,2.785,9.42,4.48297,BCC
8.153,0.0559,2.242,12.22,5.02422,BCC
8.1975,0.05416,1.515,11.88,4.28918,FCC
8.4175,0.0535,2.049,12,5.45813,FCCBCC
8.635,0.05689,2.301,12.11,3.6995,Multiphase
4.494,0.09138,5.714,6.55,3.9281,BCC
8.18438,0.05441,1.683,11.94,4.42215,BCC
6.61,0.06546,6.154,12.41,11.4246,Multiphase
5.1854,0.13038,5.672,13.71,5.14192,Multiphase
7.994,0.07837,3.308,13.44,4.22769,Multiphase
8.0925,0.06908,2.391,12.83,4.15477,FCC
2.543,0.10628,5.577,6.34,2.04259,Multiphase
4.5,0.08598,5.363,11.53,3.5,Multiphase
7.9375,0.07856,3.56,13.77,4.85652,BCC
8.26,0.08056,3.738,10.79,3.5788,FCC
7.054,0.10003,3.866,12.07,7.4686,Multiphase
7.972,0.07844,3.409,13.59,4.47439,FCCBCC
7.992,0.06127,2.476,11.7,10.4719,Multiphase
8.996,0.07434,3.282,13.42,1.76166,Multiphase
6.805,0.0697,6.226,12.2,12.9391,Multiphase
7.659,0.07136,4.591,15.09,11.6718,Multiphase
4.85714,0.22641,6.024,16.18,3.59184,BCC
8.66,0.08578,3.536,9.57,7.4507,FCCBCC
7.7675,0.08104,3.566,11.98,4.02682,FCC
4.015,0.0795,4.832,11.93,21.2509,Multiphase
6.14,0.04499,0.924,2.15,0.8234,Multiphase
8.6846,0.05493,2.632,14.08,1.44688,Multiphase
7.995,0.07837,3.304,13.43,4.21642,FCC
4.01,0.02538,1.515,1.43,0.1374,BCC
5.4875,0.13064,4.922,11.73,4.20388,Multiphase
8.03,0.06593,5.964,12.3,4.87667,FCC
7.97,0.07845,3.418,13.61,4.4967,Multiphase
7.8,0.07228,5.524,13.38,6.56,FCCBCC
8.28667,0.08714,3.925,9.77,4.42524,FCC
8.771,0.05088,1.452,13.58,2.91734,FCC
5.7705,0.07693,7.956,11.95,33.8126,Multiphase
7.81867,0.06823,5.296,15.16,4.70164,Multiphase
7.45,0.07969,5.04,14.79,9.63906,FCC
8.626,0.05394,2.638,14.1,1.54424,BCC
8.0925,0.0561,2.548,12.3,5.33257,BCC
7.2,0.08734,7.178,13.38,17.6,FCC
8.25625,0.05404,1.285,12.08,3.72387,FCC
4.7525,0.1843,6.049,11.88,2.51955,BCC
8.19625,0.05487,1.796,12.13,4.44368,FCCBCC
8.16,0.05608,1.943,12.2,4.583,Multiphase
7.042,0.10024,3.867,11.98,7.42113,Multiphase
8.7254,0.05209,1.544,13.96,2.50084,BCC
6.575,0.06519,6.172,12.2,11.3521,FCCBCC
4.71429,0.16714,6.685,16.18,1.46939,BCC
5.19,0.04419,1.104,2.15,2.4949,Multiphase
7.93,0.07731,3.267,13.17,3.768,FCC
8.7594,0.05106,2.122,13.67,2.7383,Multiphase
7.49415,0.08554,5.519,17.35,8.18698,FCCBCC
8.2,0.07728,3.161,13.38,4.16,FCC
4.73875,0.18626,6.01,12,2.42556,BCC
8.233,0.05607,1.709,11.7,4.14635,Multiphase
9.83333,0.07578,3.876,14.9,2.55556,FCC
7.1964,0.06868,5.788,13.51,12.2917,Multiphase
7.28571,0.0639,6.13,16.18,18.8571,BCC
8.98,0.02038,1.098,9.35,1.791,Multiphase
6.75889,0.09834,7.765,18.44,23.0538,Multiphase
7.48875,0.08554,5.526,17.39,8.24403,BCC
7,0.08762,6.607,13.38,13.28,Multiphase
8.7385,0.05507,1.33,11.62,4.64319,FCC
4.36,0.07802,5.507,10.16,2.0992,BCC
8.23005,0.05352,0.974,11.69,3.95626,FCC
8.4835,0.05228,1.368,11.66,6.08993,FCC
6.66667,0.16156,16.856,14.9,33.8889,Multiphase
8.012,0.08027,3.334,13.61,4.31539,Multiphase
6.33813,0.05184,2.691,9.31,4.38457,BCC
7.152,0.08497,7.553,13.83,14.6481,Multiphase
7.9905,0.07838,3.325,13.47,4.26709,Multiphase
7.9925,0.07837,3.315,13.45,4.24458,Multiphase
7.5,0.08106,4.073,9.92,0.96,FCC
4.75063,0.18497,6.003,11.64,2.50497,BCC
4.24063,0.09005,4.881,11.81,1.48751,BCC
8.955,0.02135,1.338,9.43,1.82951,Multiphase
5.79667,0.05827,6.723,9.98,10.4027,Multiphase
7.99,0.07838,3.327,13.47,4.27272,FCC
8.985,0.01895,0.829,9.26,1.49957,FCC
4.73875,0.19156,5.432,12,1.97,BCC
7,0.08038,6.347,17.29,13.9375,FCCBCC
8.28667,0.05727,2.127,10.27,9.3534,FCCBCC
7.996,0.06076,2.453,11.62,10.486,Multiphase
7.9996,0.07847,3.303,13.39,4.17981,FCC
7.5,0.08555,5.511,17.29,8.125,Multiphase
4.357,0.09194,5.15,9.73,2.28157,BCC
8.39,0.05399,2.269,12.11,5.1989,FCCBCC
8.002,0.06666,6.012,11.62,4.75896,Multiphase
9.86667,0.0906,4.333,11.47,2.98667,FCC
7.935,0.05885,1.724,9.59,5.06528,Multiphase
4.49,0.10045,9.698,6.93,3.8303,BCC
5.8395,0.16015,24.252,7.78,45.7472,FCC
8.22375,0.05365,1.1,11.73,4.02104,FCCBCC
8,0.07835,3.28,13.38,4.16,FCC
7.801,0.0721,5.519,13.58,6.50252,FCCBCC
4.99,0.15517,4.081,11.73,3.07082,BCC
4.2125,0.09042,4.903,12.3,1.45985,BCC
4.5075,0.21697,6.38,12,3.33669,BCC
4.505,0.01701,1.344,6.56,1.0498,BCC
7.06,0.05068,1.283,7.11,1.58702,FCC
8.922,0.02486,0.893,9.91,1.79096,Multiphase
6.509,0.06145,3.563,11.62,2.17314,BCC
6.55,0.06695,6.182,12.2,11.5612,Multiphase
8.22888,0.05388,1.221,11.78,4.20511,Multiphase
8.31793,0.0874,3.941,9.4,4.43842,FCC
4.491,0.06785,4.845,11.93,2.04853,BCC
7.036,0.10034,3.867,11.93,7.39716,Multiphase
6,0.14956,9.85,14.9,30.5556,Multiphase
4.43333,0.06325,4.534,11.32,2.22444,BCC
4.337,0.07893,5.081,9.33,2.59624,BCC
8.2,0.06104,5.621,13.38,5.28,FCCBCC
4.412,0.09088,5.041,13.65,2.53048,BCC
6.5225,0.06476,6.2,11.73,11.236,Multiphase
8.7362,0.05143,3.046,13.8,2.3823,Multiphase
4.74625,0.21556,6.709,11.73,1.99,BCC
9.635,0.02402,1.427,9.57,6.5342,FCC
6.85,0.06962,6.182,12.59,12.879,FCC
7.5,0.05735,6.587,14.9,20.4444,FCCBCC
7.495,0.06531,6.205,12.2,13.4175,FCCBCC
7.9785,0.07842,3.38,13.55,4.40174,FCCBCC
4.6,0.14254,3.804,13.38,12.96,BCC
7.956,0.0785,3.48,13.68,4.65233,FCCBCC
8.4,0.08014,3.211,13.38,2.72,FCCBCC
8.7406,0.05169,1.515,13.86,2.63865,Multiphase
8.028,0.0827,3.403,13.81,4.51919,Multiphase
5,0.1579,2.925,9.28,3.54622,BCC
8.2025,0.05464,1.636,11.93,4.41592,Multiphase
4.393,0.08144,4.993,13.58,2.09587,BCC
4.496,0.09136,5.718,6.56,3.9321,BCC
6.498,0.03991,4.032,7.03,1.01228,BCC
6.9375,0.06994,6.219,13.32,13.7344,BCC
8.7102,0.05248,1.573,14.04,2.36406,BCC
8.33333,0.07104,6.588,14.9,2,Multiphase
7.5175,0.06496,6.236,11.73,13.5034,FCCBCC
4.498,0.09134,5.721,6.57,3.93606,BCC
4.99,0.14346,4.07,11.73,3.06584,BCC
9.332,0.02779,2.648,12.26,3.46687,Multiphase
8.99,0.07434,3.412,13.47,1.76414,Multiphase
